contaminant,substance_group,contaminant_full_name,contaminant_alt_name,CAS_number,UNIK_PARAMETERKOD,SGU_Label,NRM_PARAMETERKOD
BDE28,BFRs,"2,4,4'-Tribromodiphenyl ether",PBDE28,41318-75-6,CH07/221,"2,4,4'-Tribromdifenyleter (PBDE28)",BDE-28
BDE47,BFRs,"2,2',4,4'-Tetrabromodiphenyl ether",PBDE47,5436-43-1,CH07/145,"2,2',4,4'-Tetrabromdifenyleter (PBDE47)",BDE-47
BDE99,BFRs,"2,2',4,4',5-Pentabromodiphenyl ether",PBDE99,60348-60-9,CH07/140,"2,2',4,4',5-Pentabromdifenyleter (PBDE99)",BDE-99
BDE100,BFRs,"2,2',4,4',6-Pentabromodiphenyl ether",PBDE100,189084-64-8,CH07/144,"2,2',4,4',6-Pentabromdifenyleter (PBDE100)",BDE-100
BDE153,BFRs,"2,2',4,4',5,5'-Hexabromodiphenyl ether",PBDE153,68631-49-2,CH07/137,"2,2',4,4',5,5'-Hexabromdifenyleter (PBDE153)",BDE-153
BDE154,BFRs,"2,2',4,4',5,6'-Hexabromodiphenyl ether",PBDE154,207122-15-4,CH07/139,"2,2',4,4',5,6'-Hexabromdifenyleter (PBDE154)",BDE-154
BDE209,BFRs,"2,2',3,3',4,4',5,5',6,6'-Decabromodiphenyl ether",PBDE209,1163-19-5,CH07/89,"2,2',3,3',4,4',5,5',6,6'-Dekabromdifenyleter (PBDE209)",BDE-209
HBCD,BFRs,Hexabromocyclododecane,HBCD,25637-99-4; 3194-55-6,CH07/422,Hexabromcyklododekan (HBCD),HBCD
TCDD,Dioxins and furans,"2,3,7,8-Tetrachlorodibenzo-p-dioxin","2,3,7,8-TCDD",1746-01-6,CH07/215,"2,3,7,8-Tetraklordibenso-p-dioxin (2,3,7,8-TCDD)",TCDD
PECDD,Dioxins and furans,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin","1,2,3,7,8-PeCDD",40321-76-4,CH07/61,"1,2,3,7,8-Pentaklordibenso-p-dioxin (1,2,3,7,8-PeCDD)",PECDD
HXCDD1,Dioxins and furans,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,4,7,8-HxCDD",39227-28-6,CH07/33,"1,2,3,4,7,8-Hexaklordibenso-p-dioxin (1,2,3,4,7,8-HxCDD)",HXCDD1
HXCDD2,Dioxins and furans,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-HxCDD",57653-85-7,CH07/47,"1,2,3,6,7,8-Hexaklordibenso-p-dioxin (1,2,3,6,7,8-HxCDD)",HXCDD2
HXCDD3,Dioxins and furans,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin","1,2,3,7,8,9-HCDD",19408-74-3,CH07/53,"1,2,3,7,8,9-Hexaklordibenso-p-dioxin (1,2,3,7,8,9-HxCDD)",HXCDD3
HPCDD,Dioxins and furans,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin","1,2,3,4,6,7,8-HpCDD",35822-46-9,CH07/23,"1,2,3,4,6,7,8-Heptaklordibenso-p-dioxin (1,2,3,4,6,7,8-HpCDD)",HPCDD
OCDD,Dioxins and furans,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin","1,2,3,4,6,7,8,9-OCDD",3268-87-9,CH07/17,"1,2,3,4,6,7,8,9-Oktaklordibenso-p-dioxin (1,2,3,4,6,7,8,9-OCDD)",OCDD
TCDF,Dioxins and furans,"2,3,7,8-Tetrachlorodibenzofuran","2,3,7,8-TCDF",51207-31-9,CH07/214,"2,3,7,8-Tetraklordibensofuran (2,3,7,8-TCDF)",TCDF
PECDF1,Dioxins and furans,"1,2,3,7,8-Pentachlorodibenzofuran","1,2,3,7,8-PeCDF",57117-41-6,CH07/60,"1,2,3,7,8-Pentaklordibensofuran (1,2,3,7,8-PeCDF)",PECDF1
PECDF2,Dioxins and furans,"2,3,4,7,8-Pentachlorodibenzofuran","2,3,4,7,8-PeCDF",57117-31-4,CH07/197,"2,3,4,7,8-Pentaklordibensofuran (2,3,4,7,8-PeCDF)",PECDF2
HXCDF1,Dioxins and furans,"1,2,3,4,7,8-Hexachlorodibenzofuran","1,2,3,4,7,8-HxCDF",70648-26-9,CH07/32,"1,2,3,4,7,8-Hexaklordibensofuran (1,2,3,4,7,8-HxCDF)",HXCDF1
HXCDF2,Dioxins and furans,"1,2,3,6,7,8-Hexachlorodibenzofuran","1,2,3,6,7,8-HxCDF",57117-44-9,CH07/46,"1,2,3,6,7,8-Hexaklordibensofuran (1,2,3,6,7,8-HxCDF)",HXCDF2
HXCDF3,Dioxins and furans,"2,3,4,6,7,8-Hexachlorodibenzofuran","2,3,4,6,7,8-HxCDF",60851-34-5,CH07/191,"2,3,4,6,7,8-Hexaklordibensofuran (2,3,4,6,7,8-HxCDF)",HXCDF3
