"specimen_ID","year","date","species","species_EN","class","number_individuals","sample_ID","substance_group","contaminant","value","unit","is_censored","LOQ_LOD","uncertainty","contaminant_full_name","contaminant_alt_name","CAS_number","suspected_outlier","laboratory","instrument","analytical_method","sex","total_length","age","weight","organ","fat_percentage","dry_weight_percentage","egg_shell_thickness","d13C","d15N","C_dw_percentage","N_dw_percentage","station_name","latitude","longitude","HELCOM_basin","ICES_basin","ICES_station","season","water_type","station","station_code_SGU","contaminant_code_SGU"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"BFRs","BDE47",7.13,"ng.g-1.lw-1",FALSE,">LOQ",,,,"5436-43-1",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH07/145"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"BFRs","BDE99",4.87,"ng.g-1.lw-1",FALSE,">LOQ",,,,"60348-60-9",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH07/140"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"BFRs","BDE100",2.3,"ng.g-1.lw-1",FALSE,">LOQ",,,,"189084-64-8",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH07/144"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"BFRs","BDE153",0.47,"ng.g-1.lw-1",FALSE,">LOQ",,,,"68631-49-2",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH07/137"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"BFRs","BDE154",1.12,"ng.g-1.lw-1",FALSE,">LOQ",,,,"207122-15-4",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH07/139"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"BFRs","HBCD",4.51,"ng.g-1.lw-1",FALSE,">LOQ",,,,"25637-99-4; 3194-55-6",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH07/422"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"Pesticides and solvents","HCB",8.7,"ng.g-1.lw-1",FALSE,">LOQ",,,,"118-74-1",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH09/325"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"Pesticides and solvents","AHCH",6,"ng.g-1.lw-1",TRUE,"<LOQ",,,,"319-84-6",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH09/68"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"Pesticides and solvents","BHCH",6,"ng.g-1.lw-1",TRUE,"<LOQ",,,,"319-85-7",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH09/111"
"C2015/06302-06313",2015,2015-09-11,"Perca fluviatilis","perch","Fish","12",,"Pesticides and solvents","LINDAN",6,"ng.g-1.lw-1",TRUE,"<LOQ",,,,"58-89-9",,"Impacted",,,,,,,"Muscle",0.469302222222222,21.3957446808511,,,,,,"Österfjärden",63.7531055844305,20.3145461266993,,,,"Autumn",,,344213,"CH09/420"
